Cliente;Regional2;Gerencia2;SubCanal2;Categoria;Nevera
1;Regional 1;Gerencia_1;Subcanal_1;Categoria_1;0
2;Regional 1;Gerencia_1;Subcanal_1;Categoria_1;0
3;Regional 1;Gerencia_1;Subcanal_1;Categoria_1;0
4;Regional 1;Gerencia_1;Subcanal_1;Categoria_1;1
5;Regional 1;Gerencia_1;Subcanal_1;Categoria_2;1
6;Regional 1;Gerencia_1;Subcanal_2;Categoria_2;1
7;Regional 1;Gerencia_1;Subcanal_1;Categoria_3;1
8;Regional 1;Gerencia_1;Subcanal_1;Categoria_2;1
9;Regional 1;Gerencia_2;Subcanal_3;Categoria_3;1
10;Regional 1;Gerencia_3;Subcanal_1;Categoria_2;1
11;Regional 1;Gerencia_2;Subcanal_3;Categoria_2;1
12;Regional 1;Gerencia_3;Subcanal_4;Categoria_4;1
13;Regional 1;Gerencia_2;Subcanal_3;Categoria_2;0
14;Regional 1;Gerencia_3;Subcanal_1;Categoria_2;1
15;Regional 1;Gerencia_2;Subcanal_3;Categoria_2;1
16;Regional 1;Gerencia_2;Subcanal_2;Categoria_3;1
17;Regional 1;Gerencia_4;Subcanal_3;Categoria_2;1
18;Regional 1;Gerencia_3;Subcanal_1;Categoria_5;1
19;Regional 1;Gerencia_4;Subcanal_5;Categoria_2;1
20;Regional 1;Gerencia_3;Subcanal_4;Categoria_2;1
21;Regional 1;Gerencia_4;Subcanal_6;Categoria_4;0
22;Regional 1;Gerencia_3;Subcanal_7;Categoria_3;0
23;Regional 1;Gerencia_3;Subcanal_2;Categoria_1;1
24;Regional 1;Gerencia_4;Subcanal_3;Categoria_1;0
25;Regional 1;Gerencia_4;Subcanal_6;Categoria_1;0
26;Regional 1;Gerencia_4;Subcanal_4;Categoria_1;1
27;Regional 1;Gerencia_4;Subcanal_3;Categoria_2;0
28;Regional 1;Gerencia_4;Subcanal_5;Categoria_4;1
29;Regional 1;Gerencia_4;Subcanal_6;Categoria_1;1
30;Regional 1;Gerencia_3;Subcanal_1;Categoria_2;1
31;Regional 1;Gerencia_4;Subcanal_1;Categoria_2;1
32;Regional 1;Gerencia_3;Subcanal_2;Categoria_4;1
33;Regional 1;Gerencia_4;Subcanal_2;Categoria_1;1
34;Regional 1;Gerencia_3;Subcanal_6;Categoria_1;0
35;Regional 1;Gerencia_3;Subcanal_7;Categoria_2;0
36;Regional 1;Gerencia_3;Subcanal_4;Categoria_3;1
37;Regional 1;Gerencia_2;Subcanal_8;Categoria_2;1
38;Regional 1;Gerencia_2;Subcanal_1;Categoria_3;0
39;Regional 1;Gerencia_4;Subcanal_1;Categoria_4;1
40;Regional 1;Gerencia_3;Subcanal_1;Categoria_4;1
41;Regional 1;Gerencia_2;Subcanal_1;Categoria_4;1
42;Regional 1;Gerencia_2;Subcanal_5;Categoria_3;0
43;Regional 1;Gerencia_4;Subcanal_2;Categoria_1;1
44;Regional 1;Gerencia_5;Subcanal_8;Categoria_3;0
45;Regional 1;Gerencia_2;Subcanal_4;Categoria_3;1
46;Regional 1;Gerencia_4;Subcanal_6;Categoria_3;0
47;Regional 1;Gerencia_5;Subcanal_4;Categoria_2;1
48;Regional 1;Gerencia_4;Subcanal_9;Categoria_2;1
49;Regional 1;Gerencia_3;Subcanal_4;Categoria_1;1
50;Regional 1;Gerencia_4;Subcanal_1;Categoria_1;1
51;Regional 1;Gerencia_4;Subcanal_3;Categoria_3;1
52;Regional 1;Gerencia_4;Subcanal_10;Categoria_4;1
53;Regional 1;Gerencia_2;Subcanal_1;Categoria_2;1
54;Regional 1;Gerencia_2;Subcanal_1;Categoria_2;1
55;Regional 1;Gerencia_2;Subcanal_4;Categoria_2;1
56;Regional 1;Gerencia_4;Subcanal_4;Categoria_3;0
57;Regional 1;Gerencia_2;Subcanal_1;Categoria_3;1
58;Regional 1;Gerencia_2;Subcanal_2;Categoria_2;1
59;Regional 1;Gerencia_2;Subcanal_9;Categoria_3;1
60;Regional 1;Gerencia_4;Subcanal_6;Categoria_1;1
61;Regional 1;Gerencia_4;Subcanal_3;Categoria_3;0
62;Regional 1;Gerencia_3;Subcanal_4;Categoria_1;1
63;Regional 1;Gerencia_4;Subcanal_6;Categoria_2;0
64;Regional 1;Gerencia_2;Subcanal_6;Categoria_2;0
65;Regional 1;Gerencia_3;Subcanal_3;Categoria_2;0
66;Regional 1;Gerencia_4;Subcanal_6;Categoria_3;0
67;Regional 1;Gerencia_3;Subcanal_4;Categoria_3;0
68;Regional 1;Gerencia_3;Subcanal_3;Categoria_3;1
69;Regional 1;Gerencia_5;Subcanal_8;Categoria_3;0
70;Regional 1;Gerencia_3;Subcanal_10;Categoria_2;0
